Source_ID,Study_ID,Source_Summary,FirstAuthor_LastName,Source,Source_Type,DOI,Publication_Year,Data_Specific_Location,Sampling_Methods,Method_Hand_Sorting,Method_Extractant,Method_Under_Feature_Search,Method_Electrical_Octet,Method_Pitfall_Traps,Method_Surface_or_Cast_Counting,Method_Other,Data_Incidence,Data_Abundance,Data_Biomass,Data_Taxa,Data_Species_Specific,Data_Climate,Data_Soil,Habitat_Arable,Habitat_Grassland,Habitat_Wooded,Habitat_Wetland_Upland,Habitat_Brownfield,Habitat_Coastal,Habitat_Freshwater_Shoreline,Habitat_Urban,Habitat_Horticulture,Habitat_Other,Habitat_Notes,Natural_Or_Experimental,Spatial_Extent,General_Location,Country,Number_Of_Sites,Plot_Types_Sampled,First_Sampling_Year,Sampling_Years,Notes
A252,1,"Friend, 1891, Naturalist - Earth-worms of the north of England",Friend,Naturalist,Journal,NA,1891,No,Under features; Surface counting,0,0,1,0,0,1,0,1,0,0,1,,0,0,1,1,NA,NA,NA,NA,1,NA,1,1,"River/stream banks; under droppings; in tree stump at 2000 ft or higher on Cross Fell; manure heaps; in fields where dung is used (could be arable or grass, so have included both); under stones near ponds, especially where cattle congregate",Natural,Multiple site-multiple region,Northern England,England,NA,NA,1890,1890,
A251,2,"Friend, 1892d, Naturalist - New Yorkshire earthworms; with an emended list of North British species ",Friend,Naturalist,Journal,NA,1892,No,Under features; Surface counting,0,0,1,0,0,1,0,1,0,0,0,Bimastos rubidus; Dendrobaena octaedra,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,"""Rich soil; on banks of rivers where plenty of vegetable mould occurs; lake at Clumber",Natural,Multiple site-multiple region,Yorkshire,England,NA,NA,NA,NA,
A250,3,"Friend, 1892c, Naturalist - A new Yorkshire earthworm",Friend,Naturalist,Journal,NA,1892,No,Under features; Surface counting,0,0,1,0,0,1,0,1,0,0,0,Octolasion lacteum,0,0,1,1,NA,NA,NA,NA,NA,NA,1,NA,"""In fields and gardens, under clods or stones"" - Fields could be arable or grass, so both included; garden not specified as vegetable/flower bed or lawn, so both include",Natural,Multiple site-multiple region,Yorkshire,England,NA,NA,NA,NA,
A249,4,"Friend, 1892b, Naturalist - On hybridity among worms",Friend,Naturalist,Journal,NA,1892,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Discussion paper
A237,5,"Friend, 1892a, Proceedings of the Royal Irish Academy - On a new species of earth-worm",Friend,Proceedings of the Royal Irish Academy,Journal,NA,1892,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,1,0,"""Garden"" - not specified as vegetable/flower bed or lawn, so both have been included",Natural,Single site,Dublin,Republic of Ireland,1,1,1892,1892,
A236,6,"Friend, 1893b, The Irish Naturalist - The earthworms of Ireland",Friend,The Irish Naturalist,Journal,NA,1893,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,1,1,1,NA,NA,NA,1,1,1,NA,,Natural,Multiple site-multiple region,Republic of Ireland,Republic of Ireland,8,NA,NA,NA,
A235,7,"Friend, 1893a, Proceedings of the Royal Irish Academy - On some new Irish earthworms",Friend,Proceedings of the Royal Irish Academy,Journal,NA,1893,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,1,0,"Same collection as in 1892a, therefore ""Garden"" - not specified as vegetable/flower bed or lawn, so both have been included",Natural,Multiple site-single region,Dublin; Malahide,Republic of Ireland,3,NA,1892,1892,Same collection as in 1892a
A248,8,"Friend, 1894, The Irish Naturalist - A new Irish earthworm",Friend,The Irish Naturalist,Journal,NA,1984,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Natural,Single site,"Clonmore, County Clare",Republic of Ireland,1,NA,1893,1893,
A247,9,"Friend, 1895, The Irish Naturalist - A new form of Irish earthworm",Friend,The Irish Naturalist,Journal,NA,1985,Yes,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,Eiseniella tetraedra,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Natural,Single site,"Mitchelstown Cave, County Tipperary",Republic of Ireland,1,1,1894,1894,
A234,10,"Friend, 1896a, The Irish Naturalist - Earthworms",Friend,The Irish Naturalist,Journal,NA,1896,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Natural,Single site,County Galway,Republic of Ireland,1,NA,NA,NA,
A257,11,"Friend, 1896b, The Irish Naturalist - The Earthworms of Ireland",Friend,The Irish Naturalist,Journal,NA,1896,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No new information provided, really.  Mainly comments opposing the work of a ""Mr Beddard""",Natural_Or_Experimental,Multiple site-multiple region,Republic of Ireland,Republic of Ireland,NA,NA,NA,NA,
A233,12,"Southern, 1909, Proceedings of the Royal Irish Academy - Contributions Towards a Monograph of the British and Irish Oligochaeta",Southern,Proceedings of the Royal Irish Academy,Journal,NA,1909,No,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,"At elevations between 1000 and 2000 ft, but also at sea-level; under bark fo fallen trees; botanic gardens; roadside",Natural,Multiple site-multiple region,UK; Republic of Ireland,Republic of Ireland; England; Scotland; Wales; Northern Ireland,NA,NA,NA,NA,
A232,13,"Evans, 1910, Proceedings of the Royal Physical Society of Edinburgh - The Oligochaeta of the Forth area",Evans,Proceedings of the Royal Physcial Society of Edinburgh,Journal,NA,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Scotland,NA,NA,NA,NA,
A246,14,"Friend, 1910, The Irish Naturalist - Luminous worms in Ireland",Friend,The Irish Naturalist,Journal,NA,1910,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,Microscolex phosphoreus,0,0,0,1,0,1,0,0,0,0,1,1,"""Garden and lawn"" - not specified to mean veg/flower bed, so have included this along with grassland; ""bogs""",Natural,Multiple site-multiple region,Ireland; Liverpool; Worcester,Republic of Ireland; England,3,3,1843,1843; 1853; 1897,
A245,15,"Friend, 1911, Naturalist - Annelid fauna of Cumberland",Friend,Naturalist,Journal,NA,1911,No,Under features; Surface counting,0,0,1,0,0,1,0,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,1,1,"""Gardens"" - not specified as vegetable/flower bed or lawn, both included; ""high up on Skiddaw/Catbells""; ""in peat that has been dug and stored""; ""roadside (road scrapings?)""; ""under suitable stone or heap of scrapings""; ""manure heaps""; ""tree stumps""",Natural,Multiple site-multiple region,Cumbria,England,NA,NA,1890,1890-1911,
A244,16,"Friend, 1912, Naturalist - Oligochaets of Great Britain and Ireland",Friend,Naturalist,Journal,NA,1912,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Natural,Multiple site-multiple region,Great Britain; Ireland,Republic of Ireland; England; Scotland; Wales; Northern Ireland,NA,NA,NA,NA,
A243,17,"Friend, 1913, The Zoologist - Some Jersey Oligochaets",Friend,The Zoologist,Journal,NA,1913,No,Under features; Surface counting,0,0,1,0,0,1,0,1,0,0,1,,0,0,0,1,0,0,0,1,1,1,1,1,"""Broodsides, roadside banks where damp oozes out...half rotted potato haulms, manure, dead leaves, amongst roots of plants, moss; garden [not specified as vegetable/flower bed or lawn, so both included]; border of the beach; a cave; lakeshore; riverbank""",Natural,Multiple site-multiple region,Jersey,Jersey,NA,NA,NA,NA,
A231,18,"Southern, 1913, Proceedings of the Royal Irish Academy - Part 48. Oligochaeta in A Biological Survey of Clare Island in the County of Mayo, Ireland and of the Adjoining District",Southern,Proceedings of the Royal Irish Academy,Journal,NA,1913,No,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,1,"""In weeds from stream; in damp soil; near quay; in soil""; hill summits; ",Natural,Multiple site-single region,Clare Island,Republic of Ireland,NA,NA,1909,1909,
A230,19,"Friend, 1913, The Irish Naturalist - Notes on Dublin Oligochaets",Friend,The Irish Naturalist,Journal,NA,1913,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Multiple site-multiple region,NA,Republic of Ireland,8,NA,NA,NA,
A229,20,"Evans, 1946, Annals and Magazine of Natural History - X. A new species of earthworm of the genus Allolobophora",Evans,Annals and Magazine of Natural History,Journal,10.1080/00222934608654527,1946,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Rothamsted,England,NA,NA,NA,NA,
A228,21,"Evans and Guild, 1947, Annals of Applied Biology - Studies on the relationships between earthworms and soil fertility: I. Biological studies in the field",Evans,Annals of Applied Biology,Journal,10.1111/j.1744-7348.1947.tb06367.x,1947,No,Extractant; Counting casts,0,1,0,0,0,1,0,1,1,0,1,,0,1,1,1,1,0,0,0,0,0,0,0,,Natural,Multiple site-multiple region,Rothamsted; Stirling,England; Scotland,2,11,1945,1945-1946,
A227,22,"Cernosvitov and Evans, 1947, Linnean Society London - Synposes of the British Fauna, No.6 - Lumbricidae (Annelida) with a key to the common species",Cernosvitov,Report,Report,NA,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,
A226,23,"Guild, 1948, Annals of Applied Biology - Studies on the relationship between earthworms and soil fertility III. The effect of soil type on the structure of earthworm populations",Guild,Annals of Applied Biology,Journal,10.1111/j.1744-7348.1948.tb07360.x,1948,No,Extractant,0,1,0,0,0,0,0,1,1,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,,Natural,Multiple site-multiple region,Stirlingshire; Perthshire,Scotland,3,13,1945,1945-1946,
A225,24,"Guild, 1951b, Annals and Magazine of Natural History - The Lumbricidae in upland areas. I. Population variation in a small glen",Guild,Annals and Magazine of Natural History,Journal,10.1080/00222935108654192,1951,No,Extractant,0,1,0,0,0,0,0,1,1,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,,Natural,Single site,SE Scotland,Scotland,1,8,1950,1950,
A224,25,"Guild, 1951a, Journal of Animal Ecology - The distribution and population density of earthworms (Lumbricidae) in Scottish pasture fields",Guild,Journal of Animal Ecology,Journal,10.2307/1647,1951,No,Extractant,0,1,0,0,0,0,0,1,1,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,,Natural,Multiple site-single region,SE Scotland,Scotland,17,31,1948,1948-1949,
A223,26,"Guild, 1952, Annals and Magazine of Natural History - The Lumbricidae in upland areas. II. Population variation in hill pasture",Guild,Annals and Magazine of Natural History,Journal,10.1080/00222935208654293,1952,No,Extractant,0,1,0,0,0,0,0,1,1,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,,Natural,Single site,SE Scotland,Scotland,1,3,1950,1950,
A222,27,"Reynoldson, 1955, North Western Naturalist - Observations on the earthworms of North Wales",Reynoldson,North Western Naturalist,Journal,NA,1955,Yes,Hand-sorting,1,0,0,0,0,0,0,1,1,1,1,,0,1,1,1,1,0,0,1,0,0,0,1,,Natural,Multiple site-single region,North Wales,Wales,8,8,1950,1950-1955,
A221,28,"Reynoldson et al., 1955, Bardsey Observatory Report - Observations on the earthworms of Bardsey",Reynoldson,Report,Report,NA,1955,No,Hand-sorting; Other,1,0,0,0,0,0,1,1,1,1,1,,0,1,1,1,0,0,0,1,0,0,0,1,,Natural,Multiple site-single region,Bardsey,Wales,3,3,1955,1955,
A220,29,"Boyd, 1956, The Scottish Naturalist - The Lumbricidae in the Hebrides II. Geographical Distribution",Boyd,The Scottish Naturalist,Journal,NA,1956,No,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,,0,0,1,1,0,1,0,1,0,0,0,1,,Natural,Multiple site-single region,Hebrides,Scotland,NA,NA,NA,NA,
A219,30,"Boyd, 1956, Annals and Magazine of Natural History - The Lumbricidae of Hirta, St. Kilda",Boyd,Annals and Magazine of Natural History,Journal,10.1080/00222935608655735,1956,No,Hand-sorting,1,0,0,0,0,0,0,1,1,1,1,,0,0,NA,1,NA,1,NA,NA,NA,NA,1,NA,"""under stones and rotting wood, in disused middens, and by digging in the meadows""; sheep fanks (grassland?); manse precincts; ""upper hill slopes"" (moorland)",Natural,Multiple site-single region,"Hirta, St Kilda",Scotland,2,3,1952,1952; 1955,
A218,31,"Boyd, 1957, Proceedings of the Royal Society of Edinburgh, Section B: Biological Sciences - XVI. Ecological Distribution of the Lumbricidae in the Hebrides",Boyd,Proceedings of the Royal Society of Edinburgh,Journal,10.1017/S0080455X00010080,1957,No,Extractant; Hand-sorting; Under features,1,1,1,0,0,0,0,1,1,0,1,,0,1,1,1,0,0,0,1,0,0,0,0,,Natural,Multiple site-multiple region,Hebrides,Scotland,10,52,1952,1952-1955,
A217,32,"Svendsen, 1957, Journal of Animal Ecology - The distribution of Lumbricidae in an Area of Pennine Moorland (Moor House Nature Reserve)",Svendsen,Journal of Animal Ecology,Journal,10.2307/1756,1957,No,Hand-sorting,1,0,0,0,0,0,0,1,1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,,Natural,Single site,Moorhouse,England,1,18,NA,NA,
A216,33,"Boyd, 1958, Journal of Animal Ecology - The ecology of earthworms in cattle-grazed Machair in Tiree, Argyll",Boyd,Journal of Animal Ecology,Journal,10.2307/2179,1958,No,Extractant,0,1,0,0,0,0,0,1,1,0,1,,1,1,0,1,0,0,0,0,0,0,0,0,,Natural,Single site,Argyll,Scotland,1,2,1954,1954-1955,
A254,34,"Gates, 1958, Annals and Magazine of Natural History, On endemicity of earthworms in the British Isles with notes on nomenclature, taxonomy and biology (Oligochaeta : Lumbricidae)",Gates,Annals and Magazine of Natural History,Journal,10.1080/00222935808651140,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,
A215,35,"Raw and Lofty, 1959, Rep. Rothamsted expo Stn. for 1958 - Earthworm populations in orchards",Raw,Report,Report,10.23637/ERADOC-1-92,1959,No,Extractant,0,1,0,0,0,0,0,1,0,0,0,Lumbricus terrestris,0,0,0,1,1,0,0,0,0,0,0,0,,Natural,Multiple site-multiple region,Cambridgeshire; Lancashire; Northumberland; Rothamsted,England,4,NA,1959,1959,
A214,36,"Raw, 1959, Nature - Estimating earthworm populations by using formalin",Raw,Nature,Journal,10.1038/1841661a0,1959,No,Extractant; Hand-sorting,1,1,0,0,0,0,0,1,1,1,1,,0,0,0,0,1,0,0,0,0,0,0,0,,Natural,Single site,Cambridgeshire,England,2,2,NA,NA,
A213,37,"Davies, 1959, Proceedings of the Bristol Naturalists' Society - A revised list of the lumbricids found in the Bristol district",Davies,Proceedings of the Bristol Naturalists' Society,Journal,NA,1959,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,1,1,NA,NA,1,NA,NA,NA,1,1,"""gardens; cultivated land; ditches; aquatic and septic locations; farm land; Commons; meadows; rotting debris; compost heaps; habitats contaminated by sewage; in caves; manure heaps and manured soil; vegetable refuse; water-saturated locations (waterlogged cow track); pasture land; grassy edge of disused quarry""",Natural,Multiple site-single region,Bristol,England,NA,NA,NA,NA,
A212,38,"Heath, 1962, Grass and Forage Science - The influence of ley management on earthworm populations",Heath,Grass and Forage Science,Journal,10.1111/j.1365-2494.1962.tb00305.x,1962,No,Hand-sorting,1,0,0,0,0,0,0,1,1,1,1,,0,0,1,1,0,0,0,0,0,0,0,0,,Experimental,Single site,Berkshire,England,1,10,1953,1953-1956,
A253,39,"Gerard, 1964, Synopses of the British Fauna, Lumbricidae (annelida) with keys and descriptions",Gerard,Synopses of the British Fauna,Book,NA,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,
A211,40,"Reynoldson, 1966, Rep. Welsh Soils Discussion Group - The ecology of earthworms with special reference to North Wales habitats",Reynoldson,Rep. Welsh Soils Discussion Group,NA,NA,1966,Yes,Hand-sorting,1,0,0,0,0,0,0,1,1,1,1,,0,0,1,1,1,0,0,1,0,0,0,0,,Natural,Multiple site-single region,North Wales,Wales,9,9,1964,1964,
A210,41,"Watkin and Wheeler, 1966, Grass and Forage Science - Some factors affecting earthworm populations under pasture",Watkin,Grass and Forage Science,Journal,10.1111/j.1365-2494.1966.tb00441.x,1966,No,Hand-sorting,1,0,0,0,0,0,0,1,1,1,1,,0,0,0,1,0,0,0,0,0,0,0,0,,Experimental,Multiple site-multiple region,Kent,England,2,6,1952,1952-1955,
A209,42,"Gerard, 1967, Journal of Animal Ecology - Factors affecting earthworms in pastures",Gerard,Journal of Animal Ecology,Journal,NA,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,
A208,43,"Piearce, 1972b, Nature in Wales - A note on the earthworm fauna of North Wales",Piearce,Nature in Wales,Journal,NA,1972,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,0,1,1,0,0,0,0,0,1,0,"""Rich garden soil"" - assumed to be vegetable or flower bed.  Other habitat types also listed",Natural,Multiple site-multiple region,North Wales,Wales,3,3,NA,NA,
A207,44,"Piearce, 1972a, Journal of Animal Ecology - Acid intolerant and ubiquitous Lumbricidae in selected habitats in North Wales",Piearce,Journal of Animal Ecology,Journal,10.2307/3476,1972,Yes,Hand-sorting,1,0,0,0,0,0,0,1,1,1,1,,0,1,0,1,1,1,0,1,0,0,0,0,,Natural,Multiple site-single region,North Wales,Wales,6,9,NA,NA,
A206,45,"Feare et al., 1974, Journal of Applied Ecology - Ecological Studies of the Rook (Corvus frugilegus L.) in North-East Scotland: Food Intake and Feeding Behaviour",Feare,Journal of Applied Ecology,Journal,10.2307/2401751,1974,No,Hand-sorting,1,0,0,0,0,0,0,1,1,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,,Natural,Multiple site-single region,Aberdeenshire,Scotland,4,4,1968,1968-1971,
A205,46,"Edwards, 1975, Outlook on Agriculture - Effects of direct drilling on the soil fauna",Edwards,Outlook on Agriculture,Journal,10.1177/003072707500801S09,1975,No,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,Lumbricus terrestris; Others,0,0,1,0,0,0,0,0,0,0,0,0,,Experimental,Multiple site-multiple region,"Woburn, Rothamsted; Cambridgeshire",England,3,6,1971,1971-1973,
A204,47,"Curry, 1976, Pedobiologia - Some effects of animal manures on earthworms in grassland",Curry,Pedobiologia,Journal,NA,1976,No,Extractant,0,1,0,0,0,0,0,1,1,1,1,,1,1,0,1,0,0,0,0,0,0,0,0,,Experimental,Single site,County Meath,Republic of Ireland,1,8,1972,1974,
A203,48,"Phillipson et al., 1976, Pedobiologia - Earthworms and the factors governing their distribution in an English beechwood",Phillipson,Pedobiologia,Journal,NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,England,NA,NA,NA,NA,
A202,49,"Cotton, 1977, Bulletin of the Irish Biogeographical Society - Observations on the biogeography of lumbricid earthworms",Cotton,Bulletin of the Irish Biogeographical Society,Journal,NA,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,
A201,50,"Cotton, 1978b, Irish Naturalists Journal - Earthworm Survey",Cotton,Irish Naturalists Journal,Journal,NA,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,
A200,51,"Kruuk, 1978, Behavioural Ecology and Sociobiology - Foraging and spatial organisation of the European badger, Meles meles L. ",Kruuk,Behavioural Ecology and Sociobiology,Journal,10.1007/BF00302562,1978,No,Extractant; counting at night,0,1,0,0,0,1,0,1,1,1,0,Lumbricus terrestris; Others,0,0,1,1,1,0,0,0,0,0,0,0,,Natural,Multiple site-single region,Wytham Woods,England,1,4,1973,1973-1975,
A199,52,"Cotton, 1978a, Irish Naturalists Journal - A revision of the Irish Earthworms (Oligochaeta: Lumbricidae) with the addition of two species",Cotton,Irish Naturalists Journal,Journal,NA,1978,No,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,,Natural,Single site,County Wexford,Republic of Ireland,1,1,NA,NA,
A198,53,"Phillipson et al., 1978, Oecologia - Earthworm numbers, biomass and respiratory metabolism in a beech woodland-Wytham Woods, Oxford",Phillipson,Oecologia,Journal,10.1007/BF00348115,1978,Yes,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,1,1,,0,NA,0,0,1,0,0,0,0,0,0,0,,Natural,Single site,Wytham Woods,England,1,1,1971,1971-1973,
A256,54,"Piearce & Piearce, 1979, Journal of Applied Ecology - Responses of Lumbricidae to saline inundation",Piearce,Journal of Applied Ecology,Journal,10.2307/2402522,1979,Yes,Hand-sorting; Extractant,1,1,0,0,0,0,0,1,1,1,1,,0,1,0,1,0,0,0,0,0,0,0,0,,Natural,Multiple site-single region,Lancaster,England,2,10,1978,1978,
A197,55,"Barnes and Ellis, 1979, European Journal of Soil Science - Effects of different methods of cultivation and direct drilling, and disposal of straw residues, on populations of earthworms",Barnes,European Journal of Soil Science,Journal,10.1111/j.1365-2389.1979.tb01016.x,1979,No,Hand-sorting + Extractant,1,1,0,0,0,0,0,0,1,0,0,Lumbricus terrestris; Aporrectodea longa; Aporrectodea nocturna; Aporrectodea caliginosa; Allolobophora chlorotica; Aporrectodea rosea,0,0,1,0,0,0,0,0,0,0,0,0,,Experimental,Multiple site-multiple region,Berkshire; Oxfordshire,England,4,5,1971,1971-1973,
A196,56,"Gerard and Hay, 1979, The Journal of Agricultural Science - The effect on earthworms of ploughing, tined cultivation, direct drilling and nitrogen in a barley monoculture system",Gerard,The Journal of Agricultural Science,Journal,10.1017/S0021859600086238,1979,No,Extractant,0,1,0,0,0,0,0,1,1,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,,Experimental,Single site,Edinburgh,Scotland,1,32,1969,1969; 1973,
A195,57,"Cotton, 1979, Irish Naturalists Journal - Aporrectodea icterica (Savigny, 1826): an earthworm new to Ireland",Cotton,Irish Naturalists Journal,Journal,NA,1979,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,Aporrectodea icterica ,0,0,0,0,0,0,0,0,0,1,0,0,Rugby Field,Natural,Single site,County Down; Cambridge;  Rothamsted; London; Essex; Surrey; Birmingham; Merionethshire,Northern Ireland; England; Wales,8,8,1978,1978,
A194,58,"Standen, 1979, Oecologia - Factors affecting the distribution of lumbricids (Oligochaeta) in associations at peat and mineral sites in northern England",Standen,Oecologia,Journal,10.1007/BF00346599,1979,Yes,Pitfall traps; Extractant,0,1,0,0,1,0,0,1,1,0,1,,0,1,0,0,0,1,0,0,0,0,0,0,,Natural,Multiple site-multiple region,North Pennines,England,41,41,1977,1977-1978,
A193,59,"Wright and Stringer, 1980, Environmental Pollution - Lead, zinc and cadmium content of earthworms from pasture in the vicinity of an industrial smelting complex",Wright,Environmental Pollution,Journal,10.1016/0143-1471(80)90073-2,1980,Yes,Extractant,0,1,0,0,0,0,0,1,1,0,1,,0,1,0,1,0,0,0,0,0,0,0,1,Apple Orchard,Natural,Multiple site-single region,Somerset,England,2,2,NA,NA,
A192,60,"Tracey, 1980, MSc Thesis - Some comparative effects of earthworms and leather jackets on upland improved soils",Tracey,MSc Thesis,Thesis,NA,1980,Yes,Hand-sorting,1,0,0,0,0,0,0,1,1,1,1,,1,1,0,1,0,0,0,0,0,0,0,0,,Natural,Multiple site-multiple region,Cumbria; Durham,England,2,9,1980,1980,
A191,61,"Ash and Lee, 1980, Environmental Pollution - Lead, cadmium, copper and iron in earthworms from roadside sites",Ash,Environmental Pollution,Journal,10.1016/0143-1471(80)90082-3,1980,Yes,Extractant,0,1,0,0,0,0,0,0,0,0,0,Lumbricus terrestris; Lumbricus rubellus; Allolobophora chlorotica,0,0,0,0,0,0,0,0,0,1,0,0,"Roadside (heavily used and also little used, incl. grass verges); recreational field in Leeds",Natural,Multiple site-multiple region,West Yorkshire; Oban,England; Scotland,5,5,1977,1977,
A190,62,"Cotton and Curry, 1980b, Pedobiologia - The response of earthworm populations (Oligochaeta, Lumbricidae) to high applications of pig slurry",Cotton,Pedobiologia,Journal,NA,1980,No,Extractant,0,1,0,0,0,0,0,1,1,1,1,,0,0,0,1,0,0,0,0,0,0,0,0,,Experimental,Multiple site-multiple region,South-East Ireland,Republic of Ireland,12,3,1977,1977-1978,
A189,63,"Cotton and Curry, 1980a, Pedobiologia - The effects of cattle and pig slurry fertilizers on earthworms (Oligochaeta, Lumbricidae) in grassland managed for silage production",Cotton,Pedobiologia,Journal,NA,1980,No,Extractant,0,1,0,0,0,0,0,1,1,1,1,,1,1,0,1,0,0,0,0,0,0,0,0,,Experimental,Single site,"Johnstown Castle, County Wexford",Republic of Ireland,1,3,1976,1976-1977,
A188,64,"Edwards, 1980, Interactions between agricultural practice and earthworms. In Soil Biology as Related to Land Use Practices (ed. D. L. Dindal), Proc. VIIth Int. Coli. Soil Zool., E.P.A. Washington DC, 3-12",Edwards,Book,Book,NA,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,
A187,65,"Edwards and Lofty, 1980, Journal of Applied Ecology - Effects of Earthworm Inoculation Upon the Root Growth of Direct Drilled Cereals",Edwards,Journal of Applied Ecology,Journal,10.2307/2402635,1980,No,Extractant,0,1,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,,Experimental,Single site,Cambridgeshire,England,1,4,1978,1978,
A186,66,"Satchell, 1980b, Soil Biology & Biogeochemistry - Earthworm populations of experimental birch plots on a Calluna podzol",Satchell,Soil Biology & Biogeochemistry,Journal,10.1016/0038-0717(80)90002-4,1980,Yes,Extractant; Surface counting; Earthworm traps,0,1,0,0,1,1,0,1,1,0,1,,0,1,0,0,1,1,0,0,0,0,0,0,,Experimental,Single site,North York Moors,England,1,5,1956,1956-1958; 1975,
A185,67,"Satchell, 1980a, Soil Biology & Biogeochemistry - Potential of the Silpho Moor experimental birch plots as a habitat for Lumbricus terrestris",Satchell,Soil Biology & Biogeochemistry,Journal,10.1016/0038-0717(80)90003-6,1980,Yes,Extractant,0,1,0,0,0,0,0,,,1,1,,0,1,0,0,1,0,0,0,0,0,0,0,,Natural,Multiple site-single region,North York Moors,England,4,4,1977,1977,
