Source_ID,Study_ID,Source_Summary,FirstAuthor_LastName,Source,Source_Type,DOI,Publication_Year,Data_Specific_Location,Sampling_Methods,Method_Hand_Sorting,Method_Extractant,Method_Under_Feature_Search,Method_Electrical_Octet,Method_Pitfall_Traps,Method_Surface_or_Cast_Counting,Method_Other,Data_Incidence,Data_Abundance,Data_Biomass,Data_Taxa,Data_Species_Specific,Data_Climate,Data_Soil,Habitat_Arable,Habitat_Grassland,Habitat_Wooded,Habitat_Wetland_Upland,Habitat_Brownfield,Habitat_Coastal,Habitat_Freshwater_Shoreline,Habitat_Urban,Habitat_Horticulture,Habitat_Other,Habitat_Notes,Natural_Or_Experimental,Spatial_Extent,General_Location,Country,Number_Of_Sites,Plot_Types_Sampled,First_Sampling_Year,Sampling_Years,Notes
A53,200,"Keith et al., 2012, European Journal of Soil Science - Cross-taxa congruence, indicators and environmental gradients in soils under agricultural and extensive land management",Keith,European Journal of Soil Science,Journal,10.1016/j.ejsobi.2011.08.0 02,2012,Yes,Hand-sorting; Extractant,1,1,0,0,0,0,0,1,1,1,1,,0,0,1,1,1,1,0,0,0,0,0,0,,Natural,Multiple site-multiple region,Ireland-wide,Republic of Ireland,61,61,2006,2006-2007,
A52,201,"Carpenter et al., 2012a, Biodiversity and Conservation - Biodiversity of soil macrofauna in the New Forest: a benchmark study across a national park landscape",Carpenter,Biodiversity and Conservation,Journal,10.1007/s10531-012-0369-0,2012,Yes,Hand-sorting; Pitfall traps; Under features,1,0,1,0,1,0,0,1,1,0,0,,0,1,0,1,1,1,0,0,0,0,0,0,,Natural,Multiple site-single region,New Forest,England,40,40,2010,2010-2011,
A51,202,"Carpenter et al., 2013, Journal of Natural History - Differences in nest structure influence the importance of Formica rufa group (Hymenoptera: Formicidae) wood ant nests as refugia for earthworms",Carpenter,Journal of Natural History,Journal,10.1080/00222933.2012.763063,2013,No,Under features,0,0,1,0,0,0,0,1,1,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,,Natural,Multiple site-multiple region,Surrey; Essex; Sussex; Buckingham,England,4,4,2010,2010,
A50,203,"Keith and Schmidt, 2013, Irish Naturalists' Journal - First record of the earthworm Prosellodrilus amplisetosus (Oligochaeta: Lumbricidae) outside continental Europe",Keith,Irish Naturalists Journal,Journal,NA,2013,Yes,Hand-sorting,1,0,0,0,0,0,0,0,0,0,0,Prosellodrilus amplisetosus,0,1,1,0,0,0,0,0,0,0,0,0,,Natural,Single site,County Louth,Republic of Ireland,1,1,2006,2006,
A49,204,"Kennedy et al., 2013, Journal of Agricultural Science - A comparison of the effects of minimum-till and conventional-till methods, with and without straw incorporation, on slugs, slug damage, earthworms and carabid beetles in autumn-sown cereals",Kennedy,Journal of Agricultural Science,Journal,10.1017/S0021859612000706,2013,Yes,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,,Experimental,Multiple site-single region,Co Carlow,Republic of Ireland,2,8,2001,2001-2009,
A48,205,"Dinter et al., 2013, Journal of Soils and Sediments - Occurrence and distribution of earthworms in agricultural landscapes across Europe with regard to testing for responses to plant protection products",Dinter,Journal of Soils and Sediments,Journal,10.1007/s11368-012-0620-z,2013,No,Hand-sorting; Extractant; Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,,Experimental,Single site,Unclear,NA,1,2,1998,1998-2010,
A47,206,"Sim et al., 2013, Ibis - Seasonal variation in foraging conditions for Ring Ouzels Turdus torquatus in upland habitats and their effects on juvenile habitat selection",Sim,Ibis,Journal,10.1111/ibi.12002,2013,Yes,Hand-sorting,1,0,0,0,0,0,0,1,0,1,0,,0,1,0,1,0,0,0,0,0,0,0,0,,Natural,Multiple site-single region,"Braemar, Scotland",Scotland,1,35,2007,2007-2008,
A46,207,"Piotrowska et al., 2013, Soil Biology & Biogeochemistry - Evenness and plant species identity affect earthworm diversity and community structure in grassland soils",Piotrowska,Soil Biology & Biogeochemistry,Journal,10.1016/j.soilbio.2012.06.016,2013,Yes,Octet device,0,0,0,1,0,0,0,1,1,1,1,,0,1,0,1,0,0,0,0,0,0,0,0,,Experimental,Multiple site-multiple region,"County Wexford; County Cork; County Galway, Ireland",Republic of Ireland,3,108,2007,2007-2008,
A45,208,"Murchie and Gordon, 2013, Biological Invasions - The impact of the 'New Zealand flatworm', Arthurdendyus triangulatus, on earthworm populations in the field",Murchie,Biological Invasions,Journal,10.1007/s10530-012-0309-7,2013,Yes,Extractant,0,1,0,0,0,0,0,1,1,1,1,,0,0,0,1,0,0,0,0,0,0,0,0,,Experimental,Single site,Belfast,Northern Ireland,1,3,2000,2000-2003,
A44,209,"Roarty and Schmidt, 2013, Agriculture, Ecosystems and Environment - Permanent and new arable field margins support large earthworm communities but do not increase in-field populations",Roarty,"Agriculture, Ecosystems and Environment",Journal,10.1016/j.agee.2013.02.011,2013,Yes,Hand-sorting,1,0,0,0,0,0,0,1,1,1,1,,1,1,0,1,0,0,0,0,0,0,0,0,,Both,Multiple site-multiple region,"Ireland - Dowdstown, Harristown, Kearneystown, Gurteen and Johnstown South",Republic of Ireland,5,14,2004,2004-2007,Transect from margin into field - field samples counted as one plot
A43,210,"Rajapaksha et al., 2013, Forest Ecology and Management - Effects of Short Rotation Forestry on earthworm community development in the UK",Rajapaksha,Forest Ecology and Management,Journal,10.1016/j.foreco.2013.04.004,2013,Yes,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,1,1,,0,1,1,0,1,0,0,0,0,0,0,0,,Experimental,Multiple site-multiple region,Northumberland; Nottinghamshire,England,2,6,2010,2010,
A42,211,"Wilson and Hargreaves, 2014, Greensward (by Southwest Scotland Grassland Society) - The effects of soil compaction on a grassland earthworms population",Wilson,Greensward,Journal,NA,2014,Yes,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,1,1,,1,1,0,1,0,0,0,0,0,0,0,0,,Experimental,Single site,Dumfries,Scotland,1,3,2013,2013,
A41,212,"Feighan, 2014, MSc Thesis - The effect of irrigation with wastewaters on the abundance of bio-indicators in established short rotation coppice willow plantations",Feighan,MSc Thesis,Thesis,NA,2014,No,Extractant + Hand-sorting,1,1,0,0,0,0,0,1,1,0,1,,0,1,0,0,1,0,0,0,0,0,0,0,,Experimental,Multiple site-multiple region,County Derry; County Down,Republic of Ireland; Northern Ireland,2,14,2012,2012-2013,
A40,213,"Scullion et al., 2014, Applied Soil Ecology - Deciduous woodland exposed to elevated atmospheric CO2 has species-specific impacts on anecic earthworms",Scullion,Applied Soil Ecology,Journal,10.1016/j.apsoil.2014.03.016,2014,Yes,Hand-sorting + Extractant; Cast collection,1,1,0,0,0,1,0,1,1,1,1,,1,0,0,0,1,0,0,0,0,0,0,0,,Experimental,Single site,Bangor,Wales,1,6,2007,2007,
A39,214,"Schneider et al., 2014, Nature Communications - Gains to species diversity in organically farmed fields are not propagated at the farm level",Schneider,Nature Communications,Journal,10.1038/ncomms5151,2014,No,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,,Natural,Multiple site-multiple region,Wales,Wales,2,20,NA,NA,
A38,215,"Butt et al., 2014, Zeszyty Naukowe - Earthworms of an urban cemetery in Preston: General survey and burrowing of Lumbricus terrestris",Butt,Zeszyty Naukowe,Journal,NA,2014,Yes,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,1,1,,0,0,0,1,0,0,0,0,0,0,0,0,,Natural,Single site,Preston,England,1,2,NA,NA,
A37,216,"Murchie et al., 2015, Applied Soil Biology - Responses of earthworm species to long-term applications of slurry",Murchie,Applied Soil Biology,Journal,10.1016/j.apsoil.2015.07.005,2015,Yes,Extractant,0,1,0,0,0,0,0,1,1,1,1,,0,1,0,1,0,0,0,0,0,0,0,0,,Experimental,Single site,Co. Down,Northern Ireland,1,8,2003,2003-2006,
A36,217,"Schmidt et al., 2015, Irish Naturalists Journal - Multiple records confirm presence of Dendrobaena attemsi (Oligochaeta: Lumbricidae) in Ireland",Schmidt,Irish Naturalists Journal,Journal,NA,2015,Yes,Hand-sorting; Extractant; Under features,1,1,1,0,0,0,0,0,0,0,0,Dendrobaena attemsi,0,0,0,0,1,0,0,0,0,0,1,1,"In Botanic Gardens, ""small stand of silver birch""; Veg garden; under mulch; also several woodlands",Natural,Multiple site-multiple region,Co. Dublin; Co. Waterford; Co. Wicklow,Republic of Ireland,5,6,2008,2008-2013,
A35,218,"Brown, 2015, Earthworm Society - Richmond Park Earthworm Report",Brown,Report,Report,NA,2015,Yes,Hand-sorting,1,0,0,0,0,0,0,1,1,0,1,,0,0,0,1,1,1,0,0,1,1,1,0,"Urban, but Richmond Park is huge. Lots of microhabitats sampled",Natural,Single site,London,England,1,12,2014,2014-2015,
A34,219,"Crotty et al., 2015, Soil Biology & Biogeochemistry - Assessing the impact of agricultural forage crops on soil biodiversity and abundance",Crotty,Soil Biology & Biogeochemistry,Journal,10.1016/j.soilbio.2015.08.036,2015,Yes,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,1,1,,1,1,1,1,0,0,0,0,0,0,0,0,,Experimental,Single site,Aberysthwyth,Wales,1,5,2012,2012-2013,
A33,220,"Tsiafouli et al., 2015, Global Change Biology - Intensive agriculture reduces soil biodiversity across Europe",Tsiafouli,Global Change Biology,Journal,10.1111/gcb.12752,2015,No,Hand-sorting,1,0,0,0,0,0,0,1,1,1,1,,1,1,1,1,0,0,0,0,0,0,0,0,,Natural,Multiple site-single region,Chilterns,England,5,15,2008,2008-2009,
A32,221,"Butt et al., 2015, The Glasgow Naturalist - An oasis of fertility on a barren island: Earthworms at Papadil, Isle of Rum",Butt,The Glasgow Naturalist,Journal,NA,2015,No,Extractant,0,1,0,0,0,0,0,1,1,1,0,Lumbricus terrestris,1,0,0,1,1,0,0,0,0,0,0,0,,Both,Multiple site-single region,Isle of Rum,Scotland,2,5,2005,2005-2011,
A31,222,"Jelaska and Symondson, 2016, Periodicum Biologorum - Predation on epigeic, endogeic and anecic earthworms by carabids active in spring and autumn",Jelaska,Periodicum Biologorum,Journal,10.18054/pb.2016.118.3.4709,2016,No,Hand-sorting,1,0,0,0,0,0,0,1,1,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,,Natural,Multiple site-multiple region,Wales,Wales,3,3,2010,2010,
A30,223,"Crotty et al., 2016, Soil Biology & Biogeochemistry - Understanding the legacy effect of previous forage crop and tillage management on soil biology, after conversion to an arable crop rotation",Crotty,Soil Biology & Biogeochemistry,Journal,10.1016/j.soilbio.2016.08.018,2016,Yes,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,1,1,,0,1,1,1,0,0,0,0,0,0,0,0,,Experimental,Single site,Aberysthwyth,Wales,1,25,2012,2012-2014,
A29,224,"Lowe et al., 2016, Ecotoxicology and Environmental Safety - Assessment of avoidance behaviour by earthworms (Lumbricus rubellus and Octolasion cyaneum) in linear pollution gradients",Lowe,Ecotoxicology and Environmental Safety,Journal,10.1016/j.ecoenv.2015.11.015,2016,Yes,Hand-sorting,1,0,0,0,0,0,0,1,0,0,1,,0,0,0,1,1,0,0,0,0,0,0,0,,Experimental,Multiple site-single region,Lancashire,England,2,2,NA,NA,
A28,225,"Lees et al., 2016, Agriculture, Ecosystems & Environment - The effects of soil compaction mitigation on below-ground fauna: How earthworms respond to mechanical loosening and power harrow cultivation",Lees,"Agriculture, Ecosystems & Environment",Journal,10.1016/j.agee.2016.07.026,2016,Yes,Extractant,0,1,0,0,0,0,0,1,1,1,1,,0,0,1,1,0,0,0,0,0,0,0,0,,Experimental,Single site,Northumberland,England,1,9,2011,2011-2012,
A27,226,"Spurgeon et al., 2016, Applied Soil Ecology - Ecological drivers influence the distributions of two cryptic lineages in an earthworm morphospecies",Spurgeon,Applied Soil Ecology,Journal,10.1016/j.apsoil.2016.07.013,2016,Yes,Hand-sorting,1,0,0,0,0,0,0,1,0,0,1,Lumbricus rubellus,1,1,1,1,1,0,0,0,0,0,0,0,,Natural,Multiple site-multiple region,England and Wales-wide,England; Wales,26,26,2011,2011-2014,
A26,227,"McCallum et al., 2016, Agriculture, Ecosystems and Environment - A role for liming as a conservation intervention? Earthworm abundance is associated with higher soil pH and foraging activity of a threatened shorebird in upland grasslands",McCallum,"Agriculture, Ecosystems and Environment",Journal,10.1016/j.agee.2016.03.005,2016,No,Hand-sorting,1,0,0,0,0,0,0,1,1,0,1,,1,1,1,1,0,0,0,0,0,0,0,0,,Natural,Multiple site-single region,Central Scotland,Scotland,3,19,2009,2009-2011,
A25,228,"Burton and Eggleton, 2016, European Journal of Soil Biology - Microhabitat heterogeneity enhances soil macrofauna and plant species diversity in an Ash - Field Maple woodland",Burton,European Journal of Soil Biology,Journal,10.1016/j.ejsobi.2016.04.012,2016,No,Hand-sorting,1,0,0,0,0,0,0,1,1,0,1,,1,1,0,0,1,0,0,0,0,0,0,0,,Natural,Multiple site-single region,Isle of Wight,England,2,11,2013,2013,
A24,229,"Stroud et al., 2016, Applied Soil Ecology - Population collapse of Lumbricus terrestris in conventional arable cultivations and response to straw applications",Stroud,Applied Soil Ecology,Journal,10.1016/j.apsoil.2016.08.002,2016,Yes,Midden counting + Extractant,0,1,0,0,0,1,0,0,1,0,0,Lumbricus terrestris,0,0,1,0,0,0,0,0,0,0,0,0,,Experimental,Multiple site-multiple region,"Rothamsted, Woburn",England,4,14,2015,2015,
A23,230,"Plamping et al., 2016, International Journal of Mining, Reclamation and Environment - Effects of initial planting method on the performance of mixed plantings of alder and oak on compacted opencast coal-spoils, Wales: 10-year results",Plamping,"International Journal of Mining, Reclamation and Environment",Journal,10.1080/17480930.2016.1139528,2016,Yes,Extractant,0,1,0,0,0,0,0,1,,1,0,,0,0,0,0,1,0,1,0,0,0,0,0,,Natural,Single site,South Wales,Wales,1,6,2010,2010/2013,
A22,231,"Sizmur et al, 2017, Applied Soil Ecology - Milled cereal straw accelerates earthworm (Lumbricus terrestris) growth more than selected organic amendments",Sizmur,Applied Soil Ecology,Journal,10.1016/j.apsoil.2016.12.006,2017,Yes,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,,Experimental,Multiple site-single region,Rothamsted,England,2,8,2014,2014,
A21,232,"Butt and Briones, 2017, European Journal of Soil Biology - Earthworms and mesofauna from an isolated, alkaline chemical waste site in Northwest England",Butt,European Journal of Soil Biology,Journal,10.1016/j.ejsobi.2016.11.005,2017,Yes,Hand-sorting + Extractant,1,1,0,0,0,0,0,1,1,1,1,,0,1,0,1,0,0,0,0,0,0,0,0,,Natural,Single site,Lancashire,England,1,3,2009,2009,
A20,233,"Roarty et al., 2017, Applied Soil Ecology - Earthworm populations in twelve cover crop and weed management combinations",Roarty,Applied Soil Ecology,Journal,10.1016/j.apsoil.2017.02.001,2017,No,Hand-sorting,1,0,0,0,0,0,0,1,1,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,,Natural,Single site,"Carlow, Ireland",Republic of Ireland,1,12,2006,2006-2007,
A19,234,"Briones and Alvarez-Otero, 2018, Pedobiologia - Body wall thickness as a potential functional trait for assigning earthworm species to ecological categories",Briones,Pedobiologia,Journal,10.1016/j.pedobi.2018.02.001,2018,No,Hand-sorting,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,,Natural,Multiple site-multiple region,"Lancaster, UK; Lyons, Dublin, Ireland",Republic of Ireland; England,3,3,NA,NA,
A18,235,"Keith et al., 2018, Pedobiologia Journal of Soil Ecology - Consequences of anecic earthworm removal over 18 months for earthworm assemblages and nutrient cycling in a grassland",Keith,Pedobiologia Journal of Soil Ecology,Journal,10.1016/j.pedobi.2017.10.003,2018,Yes,Extractant,0,1,0,0,0,0,0,1,1,1,1,,0,0,0,1,0,0,0,0,0,0,0,0,,Experimental,Single site,County Kildare,Republic of Ireland,1,3,2009,2009,
A17,236,"Martay, 2018, Pedobiologia Journal of Soil Ecology - Using data from schools to model variation in soil invertebrates across the UK: The importance of weather, climate, season and habitat",Martay,Pedobiologia Journal of Soil Ecology,Journal,10.1016/j.pedobi.2018.01.002,2018,Yes,Hand-sorting,1,0,0,0,0,0,0,1,1,1,0,,1,0,0,1,0,0,0,0,0,1,1,1,"""playing field, garden, flower bed, public park, other grassy area or other habitats""",Natural,Multiple site-multiple region,UK-wide,England; Scotland; Wales; Northern Ireland,410,410,2015,2015-2017,
